Ctgry,Itm,Srvng_Sz,Clrs,Clrs_frm_Ft,Ttl_Ft,Ttl_Ft_PrDV,Strtd_Ft,Strtd_Ft_PrDV,Trns_Ft,Chlstrl,Chlstrl_PrDV,Sdm,Sdm_PrDV,Crbhydrts,Crbhydrts_PrDV,Dtry_Fbr,Dtry_Fbr_PrDV,Sgrs,Prtn,Vtmn_A_PrDV,Vtmn_C_PrDV,Clcm_PrDV,Irn_PrDV,Srvng_mag,Srvng_unit,Cnt
Beverages,Diet Coke (Small),16 fl oz cup,0,0,0.0,0,0.0,0,0.0,0.0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,473.184,ml,1
Beverages,Diet Coke (Medium),21 fl oz cup,0,0,0.0,0,0.0,0,0.0,0.0,0,0.02,1,0,0,0,0,0,0,0,0,0,0,621.0540000000001,ml,1
Beverages,Diet Coke (Large),30 fl oz cup,0,0,0.0,0,0.0,0,0.0,0.0,0,0.035,1,0,0,0,0,0,0,0,0,0,0,887.22,ml,1
Beverages,Diet Coke (Child),12 fl oz cup,0,0,0.0,0,0.0,0,0.0,0.0,0,0.015,1,0,0,0,0,0,0,0,0,0,0,354.88800000000003,ml,1
Beverages,Dr Pepper (Small),16 fl oz cup,140,0,0.0,0,0.0,0,0.0,0.0,0,0.045,2,37,12,0,0,35,0,0,0,0,0,473.184,ml,1
Beverages,Dr Pepper (Medium),21 fl oz cup,190,0,0.0,0,0.0,0,0.0,0.0,0,0.065,3,53,18,0,0,51,0,0,0,0,0,621.0540000000001,ml,1
Beverages,Dr Pepper (Large),30 fl oz cup,270,0,0.0,0,0.0,0,0.0,0.0,0,0.09,4,72,24,0,0,70,0,0,0,0,0,887.22,ml,1
Beverages,Dr Pepper (Child),12 fl oz cup,100,0,0.0,0,0.0,0,0.0,0.0,0,0.03,1,27,9,0,0,26,0,0,0,0,0,354.88800000000003,ml,1
Beverages,Diet Dr Pepper (Small),16 fl oz cup,0,0,0.0,0,0.0,0,0.0,0.0,0,0.07,3,0,0,0,0,0,2,0,0,0,0,473.184,ml,1
Beverages,Diet Dr Pepper (Medium),21 fl oz cup,0,0,0.0,0,0.0,0,0.0,0.0,0,0.1,4,0,0,0,0,0,3,0,0,0,0,621.0540000000001,ml,1
Beverages,Diet Dr Pepper (Large),30 fl oz cup,0,0,0.0,0,0.0,0,0.0,0.0,0,0.14,6,0,0,0,0,0,4,0,0,0,0,887.22,ml,1
Beverages,Diet Dr Pepper (Child),12 fl oz cup,0,0,0.0,0,0.0,0,0.0,0.0,0,0.05,2,0,0,0,0,0,1,0,0,0,0,354.88800000000003,ml,1
Beverages,Sprite (Small),16 fl oz cup,140,0,0.0,0,0.0,0,0.0,0.0,0,0.03,1,37,12,0,0,37,0,0,0,0,0,473.184,ml,1
Beverages,Sprite (Medium),21 fl oz cup,200,0,0.0,0,0.0,0,0.0,0.0,0,0.045,2,54,18,0,0,54,0,0,0,0,0,621.0540000000001,ml,1
Beverages,Sprite (Large),30 fl oz cup,280,0,0.0,0,0.0,0,0.0,0.0,0,0.06,3,74,25,0,0,74,0,0,0,0,0,887.22,ml,1
Beverages,Sprite (Child),12 fl oz cup,100,0,0.0,0,0.0,0,0.0,0.0,0,0.025,1,27,9,0,0,27,0,0,0,0,0,354.88800000000003,ml,1
Beverages,1% Low Fat Milk Jug,1 carton (236 ml),100,20,2.5,4,1.5,8,0.0,0.01,3,0.125,5,12,4,0,0,12,8,10,4,30,0,236.0,ml,1
Beverages,Fat Free Chocolate Milk Jug,1 carton (236 ml),130,0,0.0,0,0.0,0,0.0,0.005,2,0.135,6,23,8,1,2,22,9,10,0,30,8,236.0,ml,1
Beverages,Minute Maid 100% Apple Juice Box,6 fl oz (177 ml),80,0,0.0,0,0.0,0,0.0,0.0,0,0.015,1,21,7,0,0,19,0,0,100,10,0,177.0,ml,1
Beverages,Minute Maid Orange Juice (Small),12 fl oz cup,150,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,34,11,0,0,30,2,0,130,2,0,354.88800000000003,ml,1
