Ctgry,Itm,Srvng_unit,Srvng_mag,Clrs,Clrs_frm_Ft,Ttl_Ft,Strtd_Ft,Trns_Ft,Chlstrl,Sdm,Crbhydrts,Dtry_Fbr,Sgrs,Prtn
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),ml,591.48,330,120,14.0,8.0,0.0,4.000000000000001e-92,2.3999999999999998e-91,37,2,20,15
Coffee & Tea,Nonfat Latte (Small),ml,354.88800000000003,100,0,0.0,0.0,0.0,5.000000000000002e-93,1.1000000000000009e-91,15,1,13,10
Coffee & Tea,Nonfat Latte (Medium),ml,473.184,130,0,0.0,0.0,0.0,5.000000000000002e-93,1.35e-91,19,1,16,12
Coffee & Tea,Nonfat Latte (Large),ml,591.48,170,0,0.5,0.0,0.0,1.0000000000000003e-92,1.8e-91,25,1,21,16
Coffee & Tea,Nonfat Caramel Latte (Small),ml,354.88800000000003,200,0,0.0,0.0,0.0,5.000000000000002e-93,1.1000000000000009e-91,41,1,39,10
Coffee & Tea,Nonfat Caramel Latte (Medium),ml,473.184,250,0,0.0,0.0,0.0,5.000000000000002e-93,1.35e-91,51,1,48,12
Coffee & Tea,Nonfat Caramel Latte (Large),ml,591.48,310,0,0.5,0.0,0.0,1.0000000000000003e-92,1.8e-91,63,1,59,16
Coffee & Tea,Nonfat Hazelnut Latte (Small),ml,354.88800000000003,200,0,0.0,0.0,0.0,5.000000000000002e-93,1.1000000000000009e-91,40,1,38,10
Coffee & Tea,Nonfat Hazelnut Latte (Medium),ml,473.184,250,0,0.0,0.0,0.0,5.000000000000002e-93,1.35e-91,51,1,48,12
Coffee & Tea,Nonfat Hazelnut Latte (Large),ml,591.48,310,0,0.5,0.0,0.0,1.0000000000000003e-92,1.8e-91,63,1,59,16
Coffee & Tea,Nonfat French Vanilla Latte (Small),ml,354.88800000000003,190,0,0.0,0.0,0.0,5.000000000000002e-93,1.15e-91,39,1,37,10
Coffee & Tea,Nonfat French Vanilla Latte (Medium),ml,473.184,240,0,0.0,0.0,0.0,5.000000000000002e-93,1.4000000000000002e-91,49,1,46,12
Coffee & Tea,Nonfat French Vanilla Latte (Large),ml,591.48,300,0,0.5,0.0,0.0,1.0000000000000003e-92,1.8e-91,60,1,56,16
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),ml,354.88800000000003,140,0,0.0,0.0,0.0,5.000000000000002e-93,1.4999999999999993e-91,24,1,13,10
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),ml,473.184,170,0,0.0,0.0,0.0,5.000000000000002e-93,1.8e-91,30,1,16,12
